frequency_hz,amplitude_db,artist,title
0.0,-37.155113,BhikariBal,Khyama
21.533203125,-41.17132,BhikariBal,Khyama
43.06640625,-43.353973,BhikariBal,Khyama
64.599609375,-37.743263,BhikariBal,Khyama
86.1328125,-29.204605,BhikariBal,Khyama
107.666015625,-19.46258,BhikariBal,Khyama
129.19921875,-10.156848,BhikariBal,Khyama
150.732421875,-4.3808765,BhikariBal,Khyama
172.265625,-3.439207,BhikariBal,Khyama
193.798828125,-4.2716446,BhikariBal,Khyama
215.33203125,-1.8203449,BhikariBal,Khyama
236.865234375,-1.6531639,BhikariBal,Khyama
258.3984375,-5.4059753,BhikariBal,Khyama
279.931640625,-6.4819975,BhikariBal,Khyama
301.46484375,-5.907694,BhikariBal,Khyama
322.998046875,-7.766446,BhikariBal,Khyama
344.53125,-7.824051,BhikariBal,Khyama
366.064453125,-8.41911,BhikariBal,Khyama
387.59765625,-9.493681,BhikariBal,Khyama
409.130859375,-6.873801,BhikariBal,Khyama
430.6640625,-3.1702385,BhikariBal,Khyama
452.197265625,0.0,BhikariBal,Khyama
473.73046875,-0.8674164,BhikariBal,Khyama
495.263671875,-5.9541864,BhikariBal,Khyama
516.796875,-5.7313614,BhikariBal,Khyama
538.330078125,-5.7093735,BhikariBal,Khyama
559.86328125,-8.20154,BhikariBal,Khyama
581.396484375,-5.2779427,BhikariBal,Khyama
602.9296875,-3.2231045,BhikariBal,Khyama
624.462890625,-3.4899864,BhikariBal,Khyama
645.99609375,-5.0185165,BhikariBal,Khyama
667.529296875,-4.950287,BhikariBal,Khyama
689.0625,-2.3418694,BhikariBal,Khyama
710.595703125,-2.906477,BhikariBal,Khyama
732.12890625,-9.0773735,BhikariBal,Khyama
753.662109375,-14.324444,BhikariBal,Khyama
775.1953125,-12.62652,BhikariBal,Khyama
796.728515625,-12.981506,BhikariBal,Khyama
818.26171875,-17.410208,BhikariBal,Khyama
839.794921875,-19.05858,BhikariBal,Khyama
861.328125,-16.443874,BhikariBal,Khyama
882.861328125,-14.160793,BhikariBal,Khyama
904.39453125,-13.629653,BhikariBal,Khyama
925.927734375,-11.874453,BhikariBal,Khyama
947.4609375,-12.20137,BhikariBal,Khyama
968.994140625,-16.780373,BhikariBal,Khyama
990.52734375,-19.566671,BhikariBal,Khyama
1012.060546875,-18.022966,BhikariBal,Khyama
1033.59375,-14.237359,BhikariBal,Khyama
1055.126953125,-12.652056,BhikariBal,Khyama
1076.66015625,-14.075842,BhikariBal,Khyama
1098.193359375,-14.704231,BhikariBal,Khyama
1119.7265625,-14.943523,BhikariBal,Khyama
1141.259765625,-14.246275,BhikariBal,Khyama
1162.79296875,-10.385523,BhikariBal,Khyama
1184.326171875,-9.31748,BhikariBal,Khyama
1205.859375,-11.094892,BhikariBal,Khyama
1227.392578125,-10.760739,BhikariBal,Khyama
1248.92578125,-10.4950075,BhikariBal,Khyama
1270.458984375,-13.044067,BhikariBal,Khyama
1291.9921875,-15.207422,BhikariBal,Khyama
1313.525390625,-13.653426,BhikariBal,Khyama
1335.05859375,-13.0743065,BhikariBal,Khyama
1356.591796875,-14.6499,BhikariBal,Khyama
1378.125,-15.045458,BhikariBal,Khyama
1399.658203125,-14.041564,BhikariBal,Khyama
1421.19140625,-15.278498,BhikariBal,Khyama
1442.724609375,-19.543213,BhikariBal,Khyama
1464.2578125,-22.84915,BhikariBal,Khyama
1485.791015625,-24.878012,BhikariBal,Khyama
1507.32421875,-26.338734,BhikariBal,Khyama
1528.857421875,-25.173592,BhikariBal,Khyama
1550.390625,-22.695448,BhikariBal,Khyama
1571.923828125,-21.885391,BhikariBal,Khyama
1593.45703125,-23.156284,BhikariBal,Khyama
1614.990234375,-25.07793,BhikariBal,Khyama
1636.5234375,-24.833624,BhikariBal,Khyama
1658.056640625,-25.853083,BhikariBal,Khyama
1679.58984375,-29.072643,BhikariBal,Khyama
1701.123046875,-30.645647,BhikariBal,Khyama
1722.65625,-30.20297,BhikariBal,Khyama
1744.189453125,-29.116295,BhikariBal,Khyama
1765.72265625,-27.773857,BhikariBal,Khyama
1787.255859375,-28.256807,BhikariBal,Khyama
1808.7890625,-29.736729,BhikariBal,Khyama
1830.322265625,-28.666782,BhikariBal,Khyama
1851.85546875,-26.45301,BhikariBal,Khyama
1873.388671875,-24.80113,BhikariBal,Khyama
1894.921875,-24.48906,BhikariBal,Khyama
1916.455078125,-25.67678,BhikariBal,Khyama
1937.98828125,-25.53304,BhikariBal,Khyama
1959.521484375,-24.851353,BhikariBal,Khyama
1981.0546875,-23.862906,BhikariBal,Khyama
2002.587890625,-22.969152,BhikariBal,Khyama
2024.12109375,-22.253345,BhikariBal,Khyama
2045.654296875,-21.483212,BhikariBal,Khyama
2067.1875,-20.75888,BhikariBal,Khyama
2088.720703125,-20.08173,BhikariBal,Khyama
2110.25390625,-19.213434,BhikariBal,Khyama
2131.787109375,-20.581846,BhikariBal,Khyama
2153.3203125,-23.37813,BhikariBal,Khyama
2174.853515625,-24.493053,BhikariBal,Khyama
2196.38671875,-24.294535,BhikariBal,Khyama
2217.919921875,-23.86337,BhikariBal,Khyama
2239.453125,-24.271927,BhikariBal,Khyama
2260.986328125,-24.800352,BhikariBal,Khyama
2282.51953125,-24.409595,BhikariBal,Khyama
2304.052734375,-23.259272,BhikariBal,Khyama
2325.5859375,-21.724472,BhikariBal,Khyama
2347.119140625,-19.931879,BhikariBal,Khyama
2368.65234375,-19.531975,BhikariBal,Khyama
2390.185546875,-20.490452,BhikariBal,Khyama
2411.71875,-21.179548,BhikariBal,Khyama
2433.251953125,-20.779587,BhikariBal,Khyama
2454.78515625,-19.811275,BhikariBal,Khyama
2476.318359375,-19.185894,BhikariBal,Khyama
2497.8515625,-19.121336,BhikariBal,Khyama
2519.384765625,-18.984402,BhikariBal,Khyama
2540.91796875,-18.246227,BhikariBal,Khyama
2562.451171875,-16.81209,BhikariBal,Khyama
2583.984375,-15.694174,BhikariBal,Khyama
2605.517578125,-15.612756,BhikariBal,Khyama
2627.05078125,-15.4235115,BhikariBal,Khyama
2648.583984375,-15.311296,BhikariBal,Khyama
2670.1171875,-16.813707,BhikariBal,Khyama
2691.650390625,-19.11211,BhikariBal,Khyama
2713.18359375,-21.262188,BhikariBal,Khyama
2734.716796875,-23.124102,BhikariBal,Khyama
2756.25,-24.122921,BhikariBal,Khyama
2777.783203125,-24.27781,BhikariBal,Khyama
2799.31640625,-24.214188,BhikariBal,Khyama
2820.849609375,-24.618895,BhikariBal,Khyama
2842.3828125,-25.850504,BhikariBal,Khyama
2863.916015625,-27.163286,BhikariBal,Khyama
2885.44921875,-27.913662,BhikariBal,Khyama
2906.982421875,-27.862122,BhikariBal,Khyama
2928.515625,-28.246916,BhikariBal,Khyama
2950.048828125,-28.871763,BhikariBal,Khyama
2971.58203125,-29.423141,BhikariBal,Khyama
2993.115234375,-29.298203,BhikariBal,Khyama
3014.6484375,-29.490782,BhikariBal,Khyama
3036.181640625,-29.290176,BhikariBal,Khyama
3057.71484375,-28.312353,BhikariBal,Khyama
3079.248046875,-28.780659,BhikariBal,Khyama
3100.78125,-29.658272,BhikariBal,Khyama
3122.314453125,-30.184217,BhikariBal,Khyama
3143.84765625,-30.644394,BhikariBal,Khyama
3165.380859375,-30.678823,BhikariBal,Khyama
3186.9140625,-31.514662,BhikariBal,Khyama
3208.447265625,-32.190224,BhikariBal,Khyama
3229.98046875,-31.514206,BhikariBal,Khyama
3251.513671875,-30.052479,BhikariBal,Khyama
3273.046875,-28.407007,BhikariBal,Khyama
3294.580078125,-27.188957,BhikariBal,Khyama
3316.11328125,-27.769583,BhikariBal,Khyama
3337.646484375,-28.872978,BhikariBal,Khyama
3359.1796875,-30.019236,BhikariBal,Khyama
3380.712890625,-31.009235,BhikariBal,Khyama
3402.24609375,-31.32844,BhikariBal,Khyama
3423.779296875,-30.857815,BhikariBal,Khyama
3445.3125,-30.11658,BhikariBal,Khyama
3466.845703125,-29.1942,BhikariBal,Khyama
3488.37890625,-27.91539,BhikariBal,Khyama
3509.912109375,-25.818027,BhikariBal,Khyama
3531.4453125,-24.58903,BhikariBal,Khyama
3552.978515625,-24.636814,BhikariBal,Khyama
3574.51171875,-25.37755,BhikariBal,Khyama
3596.044921875,-26.43546,BhikariBal,Khyama
3617.578125,-26.930136,BhikariBal,Khyama
3639.111328125,-26.760181,BhikariBal,Khyama
3660.64453125,-26.396881,BhikariBal,Khyama
3682.177734375,-25.357365,BhikariBal,Khyama
3703.7109375,-24.074497,BhikariBal,Khyama
3725.244140625,-23.09552,BhikariBal,Khyama
3746.77734375,-22.269451,BhikariBal,Khyama
3768.310546875,-22.198484,BhikariBal,Khyama
3789.84375,-23.76285,BhikariBal,Khyama
3811.376953125,-25.610647,BhikariBal,Khyama
3832.91015625,-27.39975,BhikariBal,Khyama
3854.443359375,-29.441645,BhikariBal,Khyama
3875.9765625,-31.12575,BhikariBal,Khyama
3897.509765625,-31.594673,BhikariBal,Khyama
3919.04296875,-31.057327,BhikariBal,Khyama
3940.576171875,-30.176073,BhikariBal,Khyama
3962.109375,-29.469963,BhikariBal,Khyama
3983.642578125,-28.692657,BhikariBal,Khyama
4005.17578125,-28.685883,BhikariBal,Khyama
4026.708984375,-30.781307,BhikariBal,Khyama
4048.2421875,-32.229656,BhikariBal,Khyama
4069.775390625,-33.497528,BhikariBal,Khyama
4091.30859375,-34.882618,BhikariBal,Khyama
4112.841796875,-35.3619,BhikariBal,Khyama
4134.375,-35.435516,BhikariBal,Khyama
4155.908203125,-35.46714,BhikariBal,Khyama
4177.44140625,-35.44957,BhikariBal,Khyama
4198.974609375,-35.35594,BhikariBal,Khyama
4220.5078125,-35.145374,BhikariBal,Khyama
4242.041015625,-35.326828,BhikariBal,Khyama
4263.57421875,-36.35244,BhikariBal,Khyama
4285.107421875,-37.064125,BhikariBal,Khyama
4306.640625,-37.783226,BhikariBal,Khyama
4328.173828125,-38.202152,BhikariBal,Khyama
4349.70703125,-38.28808,BhikariBal,Khyama
4371.240234375,-37.683273,BhikariBal,Khyama
4392.7734375,-36.479996,BhikariBal,Khyama
4414.306640625,-35.931164,BhikariBal,Khyama
4435.83984375,-35.817543,BhikariBal,Khyama
4457.373046875,-34.934208,BhikariBal,Khyama
4478.90625,-35.10156,BhikariBal,Khyama
4500.439453125,-36.33435,BhikariBal,Khyama
4521.97265625,-36.827343,BhikariBal,Khyama
4543.505859375,-37.299587,BhikariBal,Khyama
4565.0390625,-37.521942,BhikariBal,Khyama
4586.572265625,-37.257133,BhikariBal,Khyama
4608.10546875,-37.071636,BhikariBal,Khyama
4629.638671875,-36.211494,BhikariBal,Khyama
4651.171875,-35.21479,BhikariBal,Khyama
4672.705078125,-34.51405,BhikariBal,Khyama
4694.23828125,-33.72152,BhikariBal,Khyama
4715.771484375,-33.36514,BhikariBal,Khyama
4737.3046875,-33.633682,BhikariBal,Khyama
4758.837890625,-34.001366,BhikariBal,Khyama
4780.37109375,-34.906487,BhikariBal,Khyama
4801.904296875,-35.20013,BhikariBal,Khyama
4823.4375,-35.079414,BhikariBal,Khyama
4844.970703125,-34.70501,BhikariBal,Khyama
4866.50390625,-34.10127,BhikariBal,Khyama
4888.037109375,-32.987606,BhikariBal,Khyama
4909.5703125,-31.982521,BhikariBal,Khyama
4931.103515625,-30.958672,BhikariBal,Khyama
4952.63671875,-30.976404,BhikariBal,Khyama
4974.169921875,-31.692646,BhikariBal,Khyama
4995.703125,-32.11392,BhikariBal,Khyama
5017.236328125,-32.52938,BhikariBal,Khyama
5038.76953125,-32.62855,BhikariBal,Khyama
5060.302734375,-32.659386,BhikariBal,Khyama
5081.8359375,-32.649178,BhikariBal,Khyama
5103.369140625,-31.850315,BhikariBal,Khyama
5124.90234375,-31.543924,BhikariBal,Khyama
5146.435546875,-31.426899,BhikariBal,Khyama
5167.96875,-31.003605,BhikariBal,Khyama
5189.501953125,-31.604193,BhikariBal,Khyama
5211.03515625,-32.473606,BhikariBal,Khyama
5232.568359375,-32.906475,BhikariBal,Khyama
5254.1015625,-33.2088,BhikariBal,Khyama
5275.634765625,-32.494244,BhikariBal,Khyama
5297.16796875,-31.976685,BhikariBal,Khyama
5318.701171875,-31.879002,BhikariBal,Khyama
5340.234375,-31.818462,BhikariBal,Khyama
5361.767578125,-31.849945,BhikariBal,Khyama
5383.30078125,-31.570242,BhikariBal,Khyama
5404.833984375,-30.762497,BhikariBal,Khyama
5426.3671875,-31.08886,BhikariBal,Khyama
5447.900390625,-31.753822,BhikariBal,Khyama
5469.43359375,-32.112896,BhikariBal,Khyama
5490.966796875,-32.09474,BhikariBal,Khyama
5512.5,-31.924126,BhikariBal,Khyama
5534.033203125,-31.521389,BhikariBal,Khyama
5555.56640625,-31.394674,BhikariBal,Khyama
5577.099609375,-31.21214,BhikariBal,Khyama
5598.6328125,-31.079472,BhikariBal,Khyama
5620.166015625,-30.47894,BhikariBal,Khyama
5641.69921875,-30.024038,BhikariBal,Khyama
5663.232421875,-30.672182,BhikariBal,Khyama
5684.765625,-31.464808,BhikariBal,Khyama
5706.298828125,-32.02564,BhikariBal,Khyama
5727.83203125,-32.315468,BhikariBal,Khyama
5749.365234375,-32.269146,BhikariBal,Khyama
5770.8984375,-32.23883,BhikariBal,Khyama
5792.431640625,-31.858906,BhikariBal,Khyama
5813.96484375,-31.509174,BhikariBal,Khyama
5835.498046875,-31.078068,BhikariBal,Khyama
5857.03125,-31.00455,BhikariBal,Khyama
5878.564453125,-31.246662,BhikariBal,Khyama
5900.09765625,-31.78527,BhikariBal,Khyama
5921.630859375,-32.57306,BhikariBal,Khyama
5943.1640625,-33.517445,BhikariBal,Khyama
5964.697265625,-34.283527,BhikariBal,Khyama
5986.23046875,-34.44761,BhikariBal,Khyama
6007.763671875,-34.966583,BhikariBal,Khyama
6029.296875,-35.62776,BhikariBal,Khyama
6050.830078125,-35.826187,BhikariBal,Khyama
6072.36328125,-35.96953,BhikariBal,Khyama
6093.896484375,-35.684875,BhikariBal,Khyama
6115.4296875,-35.665462,BhikariBal,Khyama
6136.962890625,-36.841885,BhikariBal,Khyama
6158.49609375,-37.25223,BhikariBal,Khyama
6180.029296875,-37.57469,BhikariBal,Khyama
6201.5625,-38.282227,BhikariBal,Khyama
6223.095703125,-38.650436,BhikariBal,Khyama
6244.62890625,-39.08775,BhikariBal,Khyama
6266.162109375,-39.42531,BhikariBal,Khyama
6287.6953125,-39.595413,BhikariBal,Khyama
6309.228515625,-39.51559,BhikariBal,Khyama
6330.76171875,-39.294464,BhikariBal,Khyama
6352.294921875,-39.633858,BhikariBal,Khyama
6373.828125,-40.52752,BhikariBal,Khyama
6395.361328125,-40.85953,BhikariBal,Khyama
6416.89453125,-41.018948,BhikariBal,Khyama
6438.427734375,-41.0352,BhikariBal,Khyama
6459.9609375,-40.94886,BhikariBal,Khyama
6481.494140625,-40.553707,BhikariBal,Khyama
6503.02734375,-40.164803,BhikariBal,Khyama
6524.560546875,-39.83699,BhikariBal,Khyama
6546.09375,-40.008484,BhikariBal,Khyama
6567.626953125,-39.777615,BhikariBal,Khyama
6589.16015625,-39.76608,BhikariBal,Khyama
6610.693359375,-40.138474,BhikariBal,Khyama
6632.2265625,-40.127213,BhikariBal,Khyama
6653.759765625,-40.046867,BhikariBal,Khyama
6675.29296875,-39.888214,BhikariBal,Khyama
6696.826171875,-38.738052,BhikariBal,Khyama
6718.359375,-38.857872,BhikariBal,Khyama
6739.892578125,-39.314213,BhikariBal,Khyama
6761.42578125,-39.15712,BhikariBal,Khyama
6782.958984375,-38.918293,BhikariBal,Khyama
6804.4921875,-39.067337,BhikariBal,Khyama
6826.025390625,-38.86001,BhikariBal,Khyama
6847.55859375,-39.05204,BhikariBal,Khyama
6869.091796875,-39.274338,BhikariBal,Khyama
6890.625,-39.912956,BhikariBal,Khyama
6912.158203125,-40.386982,BhikariBal,Khyama
6933.69140625,-40.874687,BhikariBal,Khyama
6955.224609375,-40.994427,BhikariBal,Khyama
6976.7578125,-41.190147,BhikariBal,Khyama
6998.291015625,-41.00547,BhikariBal,Khyama
7019.82421875,-40.574265,BhikariBal,Khyama
7041.357421875,-39.945763,BhikariBal,Khyama
7062.890625,-40.076298,BhikariBal,Khyama
7084.423828125,-40.24839,BhikariBal,Khyama
7105.95703125,-40.39858,BhikariBal,Khyama
7127.490234375,-40.435356,BhikariBal,Khyama
7149.0234375,-40.446327,BhikariBal,Khyama
7170.556640625,-40.24781,BhikariBal,Khyama
7192.08984375,-40.68454,BhikariBal,Khyama
7213.623046875,-40.480858,BhikariBal,Khyama
7235.15625,-40.367706,BhikariBal,Khyama
7256.689453125,-40.12658,BhikariBal,Khyama
7278.22265625,-39.637924,BhikariBal,Khyama
7299.755859375,-39.342136,BhikariBal,Khyama
7321.2890625,-39.36161,BhikariBal,Khyama
7342.822265625,-39.322933,BhikariBal,Khyama
7364.35546875,-39.28025,BhikariBal,Khyama
7385.888671875,-39.073692,BhikariBal,Khyama
7407.421875,-39.19448,BhikariBal,Khyama
7428.955078125,-39.528618,BhikariBal,Khyama
7450.48828125,-39.695045,BhikariBal,Khyama
7472.021484375,-39.492874,BhikariBal,Khyama
7493.5546875,-39.424137,BhikariBal,Khyama
7515.087890625,-39.031643,BhikariBal,Khyama
7536.62109375,-39.058556,BhikariBal,Khyama
7558.154296875,-39.112198,BhikariBal,Khyama
7579.6875,-39.146515,BhikariBal,Khyama
7601.220703125,-39.69239,BhikariBal,Khyama
7622.75390625,-39.724525,BhikariBal,Khyama
7644.287109375,-39.39485,BhikariBal,Khyama
7665.8203125,-39.944702,BhikariBal,Khyama
7687.353515625,-40.082737,BhikariBal,Khyama
7708.88671875,-40.1596,BhikariBal,Khyama
7730.419921875,-40.112095,BhikariBal,Khyama
7751.953125,-39.957214,BhikariBal,Khyama
7773.486328125,-40.823334,BhikariBal,Khyama
7795.01953125,-41.53541,BhikariBal,Khyama
7816.552734375,-41.452526,BhikariBal,Khyama
7838.0859375,-41.401936,BhikariBal,Khyama
7859.619140625,-41.44719,BhikariBal,Khyama
7881.15234375,-42.031746,BhikariBal,Khyama
7902.685546875,-42.067085,BhikariBal,Khyama
7924.21875,-41.252445,BhikariBal,Khyama
7945.751953125,-42.216778,BhikariBal,Khyama
7967.28515625,-43.324867,BhikariBal,Khyama
7988.818359375,-42.83103,BhikariBal,Khyama
8010.3515625,-42.90822,BhikariBal,Khyama
8031.884765625,-43.27794,BhikariBal,Khyama
8053.41796875,-43.66198,BhikariBal,Khyama
8074.951171875,-44.063484,BhikariBal,Khyama
8096.484375,-43.71169,BhikariBal,Khyama
8118.017578125,-43.56473,BhikariBal,Khyama
8139.55078125,-44.663437,BhikariBal,Khyama
8161.083984375,-44.841866,BhikariBal,Khyama
8182.6171875,-45.058826,BhikariBal,Khyama
8204.150390625,-44.983303,BhikariBal,Khyama
8225.68359375,-44.48291,BhikariBal,Khyama
8247.216796875,-44.788635,BhikariBal,Khyama
8268.75,-45.101734,BhikariBal,Khyama
8290.283203125,-45.161385,BhikariBal,Khyama
8311.81640625,-46.282394,BhikariBal,Khyama
8333.349609375,-46.385887,BhikariBal,Khyama
8354.8828125,-46.451797,BhikariBal,Khyama
8376.416015625,-46.390427,BhikariBal,Khyama
8397.94921875,-46.400402,BhikariBal,Khyama
8419.482421875,-46.36888,BhikariBal,Khyama
8441.015625,-46.440285,BhikariBal,Khyama
8462.548828125,-45.950775,BhikariBal,Khyama
8484.08203125,-46.79769,BhikariBal,Khyama
8505.615234375,-47.20913,BhikariBal,Khyama
8527.1484375,-47.404125,BhikariBal,Khyama
8548.681640625,-47.099358,BhikariBal,Khyama
8570.21484375,-46.955166,BhikariBal,Khyama
8591.748046875,-47.337334,BhikariBal,Khyama
8613.28125,-47.490585,BhikariBal,Khyama
8634.814453125,-46.776703,BhikariBal,Khyama
8656.34765625,-47.184734,BhikariBal,Khyama
8677.880859375,-47.112495,BhikariBal,Khyama
8699.4140625,-46.66368,BhikariBal,Khyama
8720.947265625,-46.75915,BhikariBal,Khyama
8742.48046875,-46.761597,BhikariBal,Khyama
8764.013671875,-46.60411,BhikariBal,Khyama
8785.546875,-46.77366,BhikariBal,Khyama
8807.080078125,-46.185036,BhikariBal,Khyama
8828.61328125,-46.24618,BhikariBal,Khyama
8850.146484375,-46.291954,BhikariBal,Khyama
8871.6796875,-46.15628,BhikariBal,Khyama
8893.212890625,-46.105717,BhikariBal,Khyama
8914.74609375,-45.812725,BhikariBal,Khyama
8936.279296875,-45.286205,BhikariBal,Khyama
8957.8125,-45.622658,BhikariBal,Khyama
8979.345703125,-45.64519,BhikariBal,Khyama
9000.87890625,-45.600132,BhikariBal,Khyama
9022.412109375,-45.55458,BhikariBal,Khyama
9043.9453125,-45.265015,BhikariBal,Khyama
9065.478515625,-45.065487,BhikariBal,Khyama
9087.01171875,-44.98443,BhikariBal,Khyama
9108.544921875,-44.827698,BhikariBal,Khyama
9130.078125,-44.945328,BhikariBal,Khyama
9151.611328125,-44.720848,BhikariBal,Khyama
9173.14453125,-44.74225,BhikariBal,Khyama
9194.677734375,-44.759792,BhikariBal,Khyama
9216.2109375,-44.603607,BhikariBal,Khyama
9237.744140625,-44.354305,BhikariBal,Khyama
9259.27734375,-44.071205,BhikariBal,Khyama
9280.810546875,-43.38845,BhikariBal,Khyama
9302.34375,-43.5855,BhikariBal,Khyama
9323.876953125,-43.61088,BhikariBal,Khyama
9345.41015625,-43.262337,BhikariBal,Khyama
9366.943359375,-43.061535,BhikariBal,Khyama
9388.4765625,-42.817863,BhikariBal,Khyama
9410.009765625,-42.586864,BhikariBal,Khyama
9431.54296875,-42.728283,BhikariBal,Khyama
9453.076171875,-42.600067,BhikariBal,Khyama
9474.609375,-42.704582,BhikariBal,Khyama
9496.142578125,-42.561646,BhikariBal,Khyama
9517.67578125,-42.380524,BhikariBal,Khyama
9539.208984375,-42.45426,BhikariBal,Khyama
9560.7421875,-42.334137,BhikariBal,Khyama
9582.275390625,-41.96988,BhikariBal,Khyama
9603.80859375,-41.6256,BhikariBal,Khyama
9625.341796875,-40.91554,BhikariBal,Khyama
9646.875,-40.573044,BhikariBal,Khyama
9668.408203125,-40.613976,BhikariBal,Khyama
9689.94140625,-40.477203,BhikariBal,Khyama
9711.474609375,-40.592373,BhikariBal,Khyama
9733.0078125,-40.74527,BhikariBal,Khyama
9754.541015625,-40.668274,BhikariBal,Khyama
9776.07421875,-40.69508,BhikariBal,Khyama
9797.607421875,-40.61046,BhikariBal,Khyama
9819.140625,-40.641266,BhikariBal,Khyama
9840.673828125,-40.476078,BhikariBal,Khyama
9862.20703125,-40.154503,BhikariBal,Khyama
9883.740234375,-40.22277,BhikariBal,Khyama
9905.2734375,-40.619293,BhikariBal,Khyama
9926.806640625,-40.60891,BhikariBal,Khyama
9948.33984375,-40.668964,BhikariBal,Khyama
9969.873046875,-40.54715,BhikariBal,Khyama
9991.40625,-40.432705,BhikariBal,Khyama
10012.939453125,-40.421295,BhikariBal,Khyama
10034.47265625,-40.36139,BhikariBal,Khyama
10056.005859375,-40.566444,BhikariBal,Khyama
10077.5390625,-40.93905,BhikariBal,Khyama
10099.072265625,-40.807697,BhikariBal,Khyama
10120.60546875,-40.977043,BhikariBal,Khyama
10142.138671875,-41.373596,BhikariBal,Khyama
10163.671875,-41.63563,BhikariBal,Khyama
10185.205078125,-41.922348,BhikariBal,Khyama
10206.73828125,-41.793205,BhikariBal,Khyama
10228.271484375,-41.411976,BhikariBal,Khyama
10249.8046875,-42.208336,BhikariBal,Khyama
10271.337890625,-42.374485,BhikariBal,Khyama
10292.87109375,-42.352844,BhikariBal,Khyama
10314.404296875,-42.22586,BhikariBal,Khyama
10335.9375,-41.954098,BhikariBal,Khyama
10357.470703125,-42.30249,BhikariBal,Khyama
10379.00390625,-42.57193,BhikariBal,Khyama
10400.537109375,-41.053978,BhikariBal,Khyama
10422.0703125,-41.663803,BhikariBal,Khyama
10443.603515625,-42.463432,BhikariBal,Khyama
10465.13671875,-42.41102,BhikariBal,Khyama
10486.669921875,-42.40327,BhikariBal,Khyama
10508.203125,-42.748344,BhikariBal,Khyama
10529.736328125,-42.79783,BhikariBal,Khyama
10551.26953125,-42.366,BhikariBal,Khyama
10572.802734375,-40.766953,BhikariBal,Khyama
10594.3359375,-41.17502,BhikariBal,Khyama
10615.869140625,-42.399986,BhikariBal,Khyama
10637.40234375,-42.8324,BhikariBal,Khyama
10658.935546875,-42.892338,BhikariBal,Khyama
10680.46875,-42.974514,BhikariBal,Khyama
10702.001953125,-42.996346,BhikariBal,Khyama
10723.53515625,-42.82148,BhikariBal,Khyama
10745.068359375,-41.630478,BhikariBal,Khyama
10766.6015625,-41.575256,BhikariBal,Khyama
10788.134765625,-42.424454,BhikariBal,Khyama
10809.66796875,-42.350826,BhikariBal,Khyama
10831.201171875,-42.318,BhikariBal,Khyama
10852.734375,-42.535954,BhikariBal,Khyama
10874.267578125,-42.44753,BhikariBal,Khyama
10895.80078125,-42.49417,BhikariBal,Khyama
10917.333984375,-41.877644,BhikariBal,Khyama
10938.8671875,-41.72621,BhikariBal,Khyama
10960.400390625,-42.0623,BhikariBal,Khyama
